#k-distance frequency[THz]
0.19849196 -0.17897637
0.20108616 -0.20569951
0.20368038 -0.22695372
0.20627459 -0.24404649
0.20886881 -0.25767241
0.21146302 -0.26822575
0.21405724 -0.27593441
0.21665144 -0.28091357
0.21665144 -0.28091357
0.21929498 -0.27450397
0.22193852 -0.27548997
0.22458207 -0.28366394
0.22722560 -0.29811915
0.22986914 -0.31755197
0.23251268 -0.34057924
0.23515621 -0.36594765
0.23779975 -0.39261950
0.24044330 -0.41977927
0.24308684 -0.44680529
0.24573038 -0.47323246
0.24837391 -0.49871733
0.25101745 -0.52300912
0.25366100 -0.54592702
0.25630454 -0.56734309
0.25894808 -0.58717032
0.26159161 -0.60535624
0.26423515 -0.62188738
0.26687870 -0.63683937
0.26952224 -0.65080718
0.27216578 -0.66638551
0.27480931 -0.68270608
0.27745285 -0.69767365
0.28009639 -0.71047010
0.28273994 -0.72036678
0.28538347 -0.72666070
0.28802701 -0.72882416
0.28802701 -0.73428795
0.29067038 -0.73560135
0.29331375 -0.73928028
0.29595711 -0.74478667
0.29860050 -0.75160888
0.30124387 -0.75931153
0.30388723 -0.76748709
0.30653060 -0.77569444
0.30917397 -0.78328278
0.31181733 -0.78856472
0.31446070 -0.78898210
0.31710407 -0.78645450
0.31974745 -0.78283036
0.32239082 -0.77849815
0.32503419 -0.77352234
0.32767756 -0.76790599
0.33032092 -0.76164650
0.33296429 -0.75475062
0.33560766 -0.74723878
0.33825102 -0.73914619
0.34089441 -0.73052256
0.34353778 -0.72143137
0.34618114 -0.71194872
0.34882451 -0.70216197
0.35146788 -0.69216814
0.35411124 -0.68207207
0.35675461 -0.67198447
0.35939798 -0.66201989
0.36204137 -0.65229486
0.36468473 -0.64292635
0.36732810 -0.63403051
0.36997147 -0.62572155
0.37261483 -0.61811028
0.37525820 -0.61130185
0.37790157 -0.60539229
0.38054493 -0.60046400
0.38318832 -0.59658115
0.38583169 -0.59378690
0.38847505 -0.59210456
0.39111842 -0.59154313
0.39111842 -0.59154313
0.39371263 -0.58908620
0.39630685 -0.58169589
0.39890105 -0.56931105
0.40149527 -0.55182014
0.40408948 -0.52904318
0.40668370 -0.50069737
0.40927791 -0.46633096
0.41187211 -0.42518967
0.41446633 -0.37592114
0.41706054 -0.31581169
0.41965476 -0.23816437
0.42224896 -0.11360181
0.42484318 0.17650957
0.42743739 0.27386243
0.43003159 0.34391266
0.43262582 0.40090816
0.43522002 0.44964615
0.43781424 0.49246493
0.44040845 0.53071785
0.44300267 0.56526489
0.44559687 0.59668043
0.44819108 0.62535608
0.45078530 0.65155768
0.45337950 0.67545980
0.45597373 0.69716769
0.45856793 0.71673131
0.46116215 0.73413883
0.46375636 0.73047797
0.46375636 0.73047797
0.46639989 0.72467079
0.46904343 0.71389642
0.47168698 0.70253367
0.47433052 0.69126393
0.47697406 0.68034508
0.47961759 0.66996352
0.48226113 0.66029927
0.48490467 0.65154476
0.48754822 0.64391144
0.49019176 0.63763102
0.49283529 0.63295316
0.49547883 0.63013945
0.49812237 0.62945400
0.50076592 0.63115089
0.50340945 0.63545943
0.50605299 0.64256852
0.50869653 0.65261196
0.51134007 0.66565645
0.51398362 0.68169324
0.51662715 0.70063374
0.51927069 0.72230784
0.52191423 0.74646229
0.52455777 0.77275450
0.52720130 0.80073384
0.52984485 0.82979359
0.53248839 0.85903339
0.53513193 0.88369891
0.53513193 0.88369891
0.53772613 0.87040726
0.54032035 0.85272585
0.54291456 0.83415682
0.54550878 0.81511495
0.54810299 0.79584690
0.55069721 0.77653112
0.55329141 0.75730085
0.55588562 0.73825615
0.55847984 0.71947298
0.56107404 0.70101099
0.56366826 0.68292010
0.56626247 0.66524619
0.56885669 0.64803560
0.57145090 0.63133871
0.57404510 0.61521240
0.57663932 0.59972170
0.57923353 0.58494042
0.58182775 0.57095096
0.58442195 0.55784328
0.58701617 0.54571306
0.58961038 0.53465910
0.59220458 0.52477986
0.59479880 0.51616955
0.59739301 0.50891357
0.59998723 0.50308393
0.60258144 0.49873507
0.60517566 0.49590092
0.60776986 0.49461429
0.60776986 0.49461429
0.61041323 0.49325713
0.61305660 0.48919262
0.61569996 0.48244124
0.61834335 0.47303442
0.62098672 0.46101048
0.62363008 0.44640919
0.62627345 0.42926455
0.62891682 0.40959546
0.63156018 0.38739284
0.63420355 0.36260086
0.63684692 0.33508688
0.63949031 0.30458866
0.64213367 0.27061087
0.64477704 0.23219168
0.64742041 0.18725627
0.65006377 0.13002508
0.65270714 -0.01912165
0.65535051 -0.12876456
0.65799387 -0.17774252
0.66063726 -0.21279891
0.66328063 -0.23991932
0.66592400 -0.26145831
0.66856736 -0.27864129
0.67121073 -0.29221211
0.67385410 -0.30267222
0.67649746 -0.31038843
0.67914083 -0.31564843
0.68178422 -0.31869283
0.68442758 -0.31973576
0.68707095 -0.31898007
0.68971432 -0.31663082
0.69235768 -0.31291003
0.69500105 -0.30807541
0.69764442 -0.30244599
0.70028778 -0.29643520
0.70293117 -0.29058447
0.70557454 -0.28557123
0.70821791 -0.28214015
0.71086127 -0.28091357

0.00000000 -0.69129611
0.00259421 -0.69042168
0.00518843 -0.68780340
0.00778263 -0.68345597
0.01037685 -0.67740170
0.01297106 -0.66964468
0.01556528 -0.65045237
0.01815948 -0.61749640
0.02075369 -0.57715322
0.02334791 -0.52781213
0.02594212 -0.46671481
0.02853634 -0.38849427
0.03113054 -0.27937939
0.03372476 0.02438222
0.03631897 0.29107693
0.03891317 0.41702123
0.04150739 0.51693667
0.04410160 0.59732943
0.04669582 0.63475920
0.04929003 0.66272062
0.05188425 0.68911465
0.05447845 0.71443115
0.05707266 0.73879712
0.05966688 0.76227888
0.06226108 0.78492621
0.06485530 0.80678274
0.06744951 0.82788853
0.07004373 0.84828042
0.07263794 0.86798238
0.07263794 0.86798238
0.07528147 0.86879894
0.07792501 0.87139856
0.08056856 0.87556555
0.08321210 0.88093722
0.08585563 0.88699027
0.08849917 0.89300664
0.09114271 0.89803159
0.09378625 0.90085695
0.09642980 0.90012848
0.09907333 0.89470668
0.10171687 0.88418035
0.10436041 0.86905454
0.10700394 0.85039359
0.10964750 0.82933708
0.11229103 0.80684909
0.11493457 0.78367668
0.11757811 0.76038780
0.12022164 0.73741853
0.12286520 0.71510915
