#k-distance frequency[THz]
0.26780571 0.96704208
0.27041457 0.98390007
0.27302344 0.98930298
0.27563233 0.98025955
0.27824120 0.96743857
0.28085006 0.95373588
0.28345893 0.93996073
0.28606780 0.92650087
0.28867666 0.91353620
0.29128553 0.90108864
0.29389440 0.88904818
0.29650327 0.87719639
0.29911216 0.86523506
0.30172102 0.85282514
0.30432989 0.83963580
0.30693876 0.82539347
0.30954762 0.80991401
0.31215649 0.79310700
0.31476536 0.77495661
0.31737422 0.75549335
0.31998309 0.73476912
0.32259198 0.71284054
0.32520085 0.68976019
0.32780971 0.66557307
0.33041858 0.64031627
0.33302745 0.61402007
0.33563631 0.58670974
0.33824518 0.55840755
0.34085405 0.52913476
0.34346291 0.49891348
0.34607180 0.46776835
0.34868067 0.43572790
0.35128954 0.40282579
0.35389841 0.36910162
0.35650727 0.33460155
0.35911614 0.29937854
0.36172501 0.26349244
0.36433387 0.22700970
0.36694274 0.19000300
0.36955163 0.15255061
0.37216050 0.11568946
0.37476936 0.07729699
0.37737823 0.03869998
0.37998710 0.00000004
0.37998710 0.00000007
0.38261312 0.03618480
0.38523915 0.07226561
0.38786518 0.10814024
0.39049121 0.14542524
0.39311724 0.18095059
0.39574327 0.21594518
0.39836929 0.25032555
0.40099532 0.28401971
0.40362135 0.31696829
0.40624738 0.34912500
0.40887341 0.38285841
0.41149944 0.41638014
0.41412546 0.44939195
0.41675149 0.48178521
0.41937752 0.51343753
0.42200355 0.54421153
0.42462958 0.57395298
0.42725560 0.60248754
0.42988163 0.62961426
0.43250766 0.65509056
0.43513369 0.67859288
0.43775972 0.69959611
0.44038575 0.71693806
0.44301177 0.72721242
0.44563780 0.72405275
0.44563780 0.72405275
0.44823045 0.72471449
0.45082312 0.72666919
0.45341577 0.72982820
0.45600844 0.73405312
0.45860109 0.73916973
0.46119376 0.74498603
0.46378641 0.75131094
0.46637906 0.75796926
0.46897173 0.76480917
0.47156438 0.77170236
0.47415704 0.77853982
0.47674970 0.78522710
0.47934236 0.79168170
0.48193501 0.79783297
0.48452767 0.80362382
0.48712033 0.80901280
0.48971298 0.81397505
0.49230565 0.81850133
0.49489830 0.82259469
0.49749097 0.82626554
0.50008362 0.82952585
0.50267627 0.83238394
0.50526894 0.83484083
0.50786159 0.83688884
0.51045426 0.83851273
0.51304691 0.83969299
0.51563958 0.84041050
0.51823223 0.84065137
0.51823223 0.84065137
0.52084109 0.84070205
0.52344996 0.84084461
0.52605883 0.84105033
0.52866769 0.84127040
0.53127658 0.84143473
0.53388545 0.84145084
0.53649432 0.84120361
0.53910318 0.84055762
0.54171205 0.83936491
0.54432092 0.83748180
0.54692979 0.83479762
0.54953865 0.83127256
0.55214752 0.82697226
0.55475641 0.82208113
0.55736528 0.81688397
0.55997414 0.81172367
0.56258301 0.80695299
0.56519188 0.80289519
0.56780074 0.79981821
0.57040961 0.79792039
0.57301848 0.79732342
0.57562734 0.79806892
0.57823623 0.80011575
0.58084510 0.80333590
0.58345397 0.80750665
0.58606283 0.81229788
0.58867170 0.81725573
0.59128057 0.82179285
0.59388943 0.82521247
0.59649830 0.82680479
0.59910717 0.82601693
0.60171606 0.82260627
0.60432493 0.81666700
0.60693379 0.80853973
0.60954266 0.79869926
0.61215153 0.78767681
0.61476039 0.77601675
0.61736926 0.76425217
0.61997813 0.75288923
0.62258699 0.74239538
0.62519588 0.73318933
0.62780475 0.72563148
0.63041362 0.72001467
0.63302248 0.71655555
0.63563135 0.71538737
0.63563135 0.71538737
0.63822400 0.71559552
0.64081667 0.71490907
0.64340932 0.71321322
0.64600199 0.71042671
0.64859464 0.70650850
0.65118730 0.70321326
0.65377996 0.70066073
0.65637261 0.69829896
0.65896527 0.69622799
0.66155793 0.69451260
0.66415059 0.69316600
0.66674324 0.69213923
0.66933591 0.69132170
0.67192856 0.69055534
0.67452121 0.68966050
0.67711388 0.68846795
0.67970653 0.68684910
0.68229920 0.68473761
0.68489185 0.68213867
0.68748452 0.67912631
0.69007717 0.67583159
0.69266982 0.67242574
0.69526249 0.66910142
0.69785514 0.66605467
0.70044781 0.66346869
0.70304046 0.66150028
0.70563312 0.66026919
0.70822578 0.65985032
0.70822578 0.65985032
0.71085180 0.66093640
0.71347783 0.66415027
0.71610386 0.66935903
0.71872989 0.67634067
0.72135592 0.68478247
0.72398194 0.69427890
0.72660797 0.70433496
0.72923400 0.71439236
0.73186003 0.72391008
0.73448606 0.73251764
0.73711209 0.74017851
0.73973811 0.75851740
0.74236414 0.78753368
0.74499017 0.81673997
0.74761620 0.84583418
0.75024223 0.87447659
0.75286826 0.90225090
0.75549428 0.92859350
0.75812031 0.95264136
0.76074634 0.97279128
0.76337237 0.98501378
0.76599840 0.98166778
0.76862442 0.96611754
0.77125045 0.94675314
0.77387648 0.92644647

0.00000000 0.00000006
0.00259265 0.08144820
0.00518532 0.16248579
0.00777797 0.24265857
0.01037064 0.32207840
0.01296329 0.40038149
0.01555595 0.47675134
0.01814861 0.54989453
0.02074126 0.61665463
0.02333392 0.66866207
0.02592658 0.69515024
0.02851924 0.70247099
0.03111189 0.70202879
0.03370456 0.69852778
0.03629721 0.69360871
0.03888986 0.68793836
0.04148253 0.68182992
0.04407518 0.67543990
0.04666785 0.66883890
0.04926050 0.66203891
0.05185317 0.65500332
0.05444582 0.64764989
0.05703847 0.63985130
0.05963114 0.65429330
0.06222379 0.66842753
0.06481646 0.68195885
0.06740911 0.69524001
0.07000177 0.70864632
0.07259443 0.72253793
0.07259443 0.72253793
0.07520329 0.72334820
0.07781216 0.72577963
0.08042103 0.72983136
0.08302989 0.73549302
0.08563878 0.74273219
0.08824765 0.75147923
0.09085652 0.76161319
0.09346538 0.77295331
0.09607425 0.78525988
0.09868312 0.79824535
0.10129198 0.81159345
0.10390085 0.82498186
0.10650972 0.83810390
0.10911861 0.85068594
0.11172747 0.86249873
0.11433634 0.87336214
0.11694521 0.88314430
0.11955407 0.89175707
0.12216294 0.89915135
0.12477181 0.90531582
0.12738067 0.91028197
0.12998954 0.91413537
0.13259843 0.91702806
0.13520730 0.91918357
0.13781617 0.92088781
0.14042503 0.92246609
0.14303390 0.92425252
0.14564277 0.92655903
0.14825163 0.92964851
0.15086050 0.93371351
0.15346937 0.93886175
0.15607826 0.94510883
0.15868712 0.95237670
0.16129599 0.96049644
0.16390486 0.96921508
0.16651372 0.97821097
0.16912259 0.98712427
0.17173146 0.99560331
0.17434032 1.00335200
0.17694919 1.01015501
0.17955808 1.01587087
0.18216695 1.02040717
0.18477581 1.02369813
0.18738468 1.02569445
0.18999355 1.02636370
0.18999355 1.02636370
0.19258620 1.02607853
0.19517887 1.02521425
0.19777152 1.02374808
0.20036418 1.02165303
0.20295684 1.01891196
0.20554950 1.01553222
0.20814215 1.01155646
0.21073481 1.00706583
0.21332747 1.00217504
0.21592012 0.99702138
0.21851279 0.99175207
0.22110544 0.98651359
0.22369811 0.98144544
0.22629076 0.97667913
0.22888341 0.97234334
0.23147608 0.96857647
0.23406873 0.96555104
0.23666140 0.96351823
0.23925405 0.96288271
0.24184672 0.96428650
0.24443937 0.96852772
0.24703202 0.97601341
0.24962469 0.98620698
0.25221734 0.99802066
0.25481000 1.01046134
0.25740266 1.02270252
0.25999532 1.03353814
0.26258797 1.03897286
0.26258797 1.03897286
0.26519684 1.03186421
0.26780571 1.02313687
0.27041457 1.01482563
0.27302344 1.01532918
0.27563233 1.01076502
0.27824120 0.99914625
0.28085006 0.98660310
0.28345893 0.97318322
0.28606780 0.95894899
0.28867666 0.94398980
0.29128553 0.92842650
0.29389440 0.91241117
0.29650327 0.89612307
0.29911216 0.87976150
0.30172102 0.86353616
0.30432989 0.84765579
0.30693876 0.83231665
0.30954762 0.81769204
0.31215649 0.80392473
0.31476536 0.79112289
0.31737422 0.77936007
0.31998309 0.76867821
0.32259198 0.75909266
0.32520085 0.75059769
0.32780971 0.74317150
0.33041858 0.73678025
0.33302745 0.73138067
0.33563631 0.72692181
0.33824518 0.72334595
0.34085405 0.72058921
0.34346291 0.71858211
0.34607180 0.71725032
0.34868067 0.71651574
0.35128954 0.71629777
0.35389841 0.71651475
0.35650727 0.71708529
0.35911614 0.68126102
0.36172501 0.59993826
0.36433387 0.51678090
0.36694274 0.43231295
0.36955163 0.34687947
0.37216050 0.26068060
0.37476936 0.17411889
0.37737823 0.08715716
0.37998710 0.00000009
0.37998710 0.00000008
0.38261312 0.08920195
0.38523915 0.17811058
0.38786518 0.26643316
0.39049121 0.35422583
0.39311724 0.44100022
0.39574327 0.52656389
0.39836929 0.61064115
0.40099532 0.69291616
0.40362135 0.74279070
0.40624738 0.75040149
0.40887341 0.75859075
0.41149944 0.76706380
0.41412546 0.77550202
0.41675149 0.78357080
0.41937752 0.79092897
0.42200355 0.79723961
0.42462958 0.80218203
0.42725560 0.80546455
0.42988163 0.80683794
0.43250766 0.80611047
0.43513369 0.80316861
0.43775972 0.79801565
0.44038575 0.78887095
0.44301177 0.77692434
0.44563780 0.77556845
0.44563780 0.77556845
0.44823045 0.77621596
0.45082312 0.77815819
0.45341577 0.78139255
0.45600844 0.78590914
0.45860109 0.79168221
0.46119376 0.79865899
0.46378641 0.80674892
0.46637906 0.81581755
0.46897173 0.82568827
0.47156438 0.83615196
0.47415704 0.84698159
0.47674970 0.85794752
0.47934236 0.86883104
0.48193501 0.87943441
0.48452767 0.88958722
0.48712033 0.89914886
0.48971298 0.90800777
0.49230565 0.91607842
0.49489830 0.92329798
0.49749097 0.92962458
0.50008362 0.93503811
